GENDER,AGE_RANGE,OCCUPATION,FIELD_OF_EDUCATION,HOMETOWN,MARITAL_STATUS,SPOUSE_WILLING,SPOUSE_OCCUPATION,PREF_RENT,PREF_HOMETOWN,PREF_SCHOOL,PREF_SPOUSE,PREF_SECURITY,SECURITY,SCHOOL,RENT,DISTANCE,ANSWER
1,20,2,2,Dhaka,2,4,8,5,5,5,5,5,1,1,2,3,1
2,20,1,1,Dhaka,2,4,8,5,3,3,5,5,3,1,1,3,3
2,20,5,1,Sirajgonj,2,4,8,2,3,5,5,5,2,2,1,3,1
2,20,5,3,"Dhaka, Dhaka",2,4,8,4,4,2,1,5,2,3,1,1,3
2,20,5,4,Brahmanbaria ,2,4,8,3,1,1,5,5,2,2,3,1,4
1,20,5,2,"Shibchar, Madaripur ",2,4,8,4,1,4,5,5,1,1,3,1,1
1,26,4,2,Dhaka,1,1,4,4,5,3,5,5,2,2,3,3,3
2,20,5,1,"Fulgazi, Feni",2,4,8,3,5,2,5,3,1,1,1,3,1
2,20,5,3,"Faridpur,Dhaka",2,4,8,3,5,5,5,5,3,3,3,3,5
1,20,6,4,Brahmanbaria,2,4,8,5,4,5,1,5,1,3,1,1,1
2,20,6,2,Barishal,2,4,8,1,1,1,1,1,3,2,1,2,3
2,20,2,2,Dhaka,2,4,8,5,5,5,5,5,2,2,1,1,1
1,20,5,2,"Tongibari,Munshiganj ",2,4,8,4,3,4,3,5,3,2,1,2,4
1,20,5,2,Kushtia,2,4,8,3,2,4,4,5,1,3,2,1,3
2,20,2,2,Rangamati,1,1,1,3,5,5,3,5,2,1,1,3,2
2,20,5,3,Rajshahi,2,4,8,4,4,4,4,5,3,1,3,3,4
2,20,5,1,Dhaka,2,4,8,4,3,5,5,5,2,1,2,1,4
2,20,2,2,Jessore ,1,1,4,4,2,4,5,5,2,1,3,1,1
2,20,5,1,Narsingdi,2,4,8,3,5,5,3,5,1,1,3,2,2
1,20,5,4,Barishal,2,3,5,3,3,4,2,5,1,2,3,2,1
2,20,5,1,Dhaka,2,4,8,5,5,5,5,5,1,3,2,1,2
1,41,3,3,"Vatiary, Chittagong",1,1,4,3,4,5,5,5,3,1,3,1,3
1,20,2,2,Kishoreganj,2,4,8,4,2,2,4,5,2,1,3,3,1
2,20,1,1,Narail,2,4,8,2,1,1,3,5,3,2,1,3,5
1,41,4,4,Chuadanga,1,1,3,5,3,5,5,5,1,1,2,1,1
1,20,5,2,"Cumilla Sadar, Cumilla",2,4,8,3,4,5,5,5,3,3,1,3,5
1,26,5,2,"Faridpur, Dhaka",2,4,8,5,1,5,5,5,2,2,3,2,4
1,26,3,3,Barisal,2,4,8,3,3,3,5,5,3,2,1,1,2
1,20,5,2,"Parbatipur,Dinajpur",2,4,8,4,4,3,4,5,2,1,2,1,3
1,20,2,2,"Gazipur sadar, Gazipur",2,4,8,3,5,2,1,5,3,3,1,3,4
1,20,5,2,Dhaka,2,4,8,2,3,5,5,5,1,2,1,2,3
2,36,4,5,Gaibandha ,1,1,2,4,1,5,5,5,1,3,1,2,3
1,31,3,3,Dhaka,2,4,8,3,5,5,5,5,3,3,1,3,5
1,20,2,2,Gazipur,2,4,8,5,3,5,5,5,3,2,1,2,5
2,20,5,2,Laxmipur,2,4,8,5,4,2,5,5,2,3,3,1,3
1,20,5,2,Gopalganj ,2,4,8,4,4,4,5,5,3,2,1,1,5
2,26,5,1,Madaripur ,2,4,8,1,1,1,5,1,2,3,2,3,5
1,20,2,2,Pabna,2,4,8,3,4,4,5,5,3,2,1,2,5
2,20,5,1,Dhaka,2,4,8,1,5,5,5,5,2,3,1,2,3
2,20,5,1,Dhaka,2,4,8,5,5,5,5,5,2,1,1,3,3
1,20,5,2,Gopalganj ,2,4,8,4,4,4,5,5,1,1,1,1,1
2,20,5,3,Barishal,2,4,8,4,3,4,4,5,1,1,2,2,1
2,20,5,2,Chapai Nababganj,2,4,8,5,3,5,5,5,3,3,1,3,5
1,20,3,5,Jhenaidah ,2,4,8,3,2,2,1,1,2,3,1,3,3
1,20,2,2,Eatpitha,2,4,8,1,5,1,1,4,3,1,1,3,1
2,20,1,1,Dhaka,2,4,8,4,3,4,1,2,2,3,2,1,4
2,36,1,1,Barisal,1,2,1,5,3,5,3,5,1,3,1,2,4
2,20,5,4,Rajbari,2,4,8,4,4,4,4,5,1,3,1,3,2
1,20,5,2,Dhaka,2,4,8,4,2,5,4,5,1,1,1,1,1
1,20,5,2,Dhaka,2,4,8,3,5,5,4,5,3,1,1,1,4
2,20,5,5,Dhaka,2,4,8,5,5,3,3,5,1,1,3,3,1
2,20,6,2,Dhaka,2,4,8,4,4,3,5,5,2,1,1,2,3
2,20,5,1,"Chandina, cumilla",2,4,8,3,3,5,3,5,3,1,1,2,5
1,20,2,2,"Gazipur sadar, Gazipur",2,4,8,3,5,2,1,5,1,2,1,2,3
1,26,2,2,Mymensingh ,2,4,8,3,3,4,1,4,3,2,3,1,3
1,20,2,2,"Narsingd, Narsingdi  ",2,4,8,4,1,1,1,5,2,1,1,2,4
1,20,5,2,Feni,2,4,8,5,3,4,5,5,1,2,2,3,1
1,20,2,2,Dhaka,2,4,8,3,4,4,4,5,3,1,2,1,1
1,20,2,2,Dhaka,2,4,8,4,3,3,1,2,1,3,1,1,3
1,20,4,2,Rajshahi,2,4,8,5,1,5,1,4,3,1,1,3,4
1,20,5,2,"Jessore Sadar,Jessore",2,4,8,3,1,4,5,5,3,3,1,3,5
1,26,5,2,"Faridpur, Dhaka",2,4,8,5,1,5,5,5,1,3,2,3,2
1,20,5,2,Madaripur ,2,4,8,3,2,2,3,3,3,2,3,3,5
2,20,5,2,Shatkhira,2,4,8,5,1,1,1,5,3,3,1,3,2
1,20,2,2,Eatpitha,2,4,8,1,5,1,1,4,2,3,3,3,1
2,20,5,2,Mymensingh ,2,4,8,3,5,3,5,5,1,1,3,3,1
1,20,5,3,Dhaka,2,4,8,4,5,5,5,5,1,3,1,2,2
1,20,3,3,"Ramganj, Laxmipur",2,4,8,4,2,2,4,5,2,3,1,1,3
1,26,2,2,Noagoan,2,4,8,3,5,3,4,5,3,3,2,2,4
2,20,5,3,feni,2,4,8,2,1,5,5,5,1,1,3,3,1
1,20,5,2,"Kumarkhali, Kushtia",2,4,8,3,2,5,5,3,2,1,3,2,3
1,26,2,2,Jamalpur,1,4,8,4,3,3,5,5,1,1,2,1,1
1,20,5,2,Madaripur ,2,4,8,3,2,2,3,3,1,3,1,2,3
2,20,5,3,Rajshahi ,2,4,8,5,5,5,5,5,2,3,1,1,4
1,20,5,1,"Mohammadpur, Dhaka ",2,4,8,5,2,4,4,5,3,2,1,1,5
2,20,5,1,Brahmanbaria ,2,4,8,3,1,5,5,5,2,2,2,1,1
1,20,5,2,"Sirajganj sadar,sirajganj",2,4,8,3,5,4,4,5,1,3,2,1,3
2,20,5,2,"Dhaka, Bangladesh ",2,4,8,4,3,5,5,5,2,1,3,2,1
2,20,5,2,Dhaka,2,4,8,5,5,5,5,5,3,1,1,2,3
1,20,2,2,Dhaka,2,4,8,3,5,5,5,5,3,1,3,3,2
2,20,1,1,feni,2,4,8,5,5,5,1,2,2,2,1,3,3
2,26,2,2,"Bhuapur, Tangail",2,4,8,2,3,4,5,5,3,3,2,2,5
1,20,6,4,Brahmanbaria,2,4,8,5,4,5,1,5,2,1,3,2,2
2,20,6,2,Comilla,2,4,8,5,2,2,5,5,1,1,1,1,1
1,20,5,2,Dhaka,2,4,8,3,3,1,5,5,1,2,3,1,1
2,20,5,1,Borishal,2,4,8,2,5,5,5,5,3,1,3,2,5
1,20,6,2,Narsingdi ,2,4,8,4,5,3,5,5,2,3,3,2,3
2,20,5,3,"Dhaka, Dhaka",2,4,8,4,4,2,1,5,3,2,3,2,3
1,20,5,3,Madaripur ,2,4,8,3,3,5,1,5,3,3,3,3,4
1,20,5,2,Chandpur,2,4,8,5,4,5,5,5,2,3,2,2,4
2,20,5,3,Feni,2,4,8,3,3,5,3,2,3,2,3,2,3
1,20,7,4,Chittagong,2,4,8,4,1,3,5,5,3,2,3,2,2
2,26,3,3,Rajshahi,1,1,3,2,4,4,5,5,1,2,3,2,2
1,20,5,2,Chittagong ,2,4,8,2,3,5,5,5,2,2,1,2,4
2,26,2,2,Tangail,2,4,8,4,3,4,4,5,1,3,2,3,3
2,20,5,2,Chapai Nababganj,2,4,8,5,3,5,5,5,1,3,3,1,1
1,20,6,2,Narsingdi ,2,4,8,4,5,3,5,5,3,1,1,2,2
2,20,5,4,Magura,2,4,8,5,5,4,3,5,3,1,3,3,4
1,26,7,1,Dhaka,2,4,8,4,5,3,4,5,1,2,2,2,2
1,20,5,2,Dhaka,2,4,8,3,5,5,4,5,2,1,3,3,1
2,20,5,1,Dhaka,2,4,8,3,5,5,1,3,3,3,1,3,5
2,20,5,3,Kishoregonj,2,4,8,3,1,5,4,5,1,2,2,2,2
2,20,5,1,Dhaka,2,4,8,4,4,4,5,5,3,1,1,1,5
2,31,7,4,Pabna,1,1,7,3,2,4,5,3,2,1,2,2,3
1,26,2,2,Noagoan,2,4,8,3,5,3,4,5,2,1,1,2,2
2,20,5,1,Chadpur,2,4,8,2,1,3,1,3,2,3,2,3,4
1,26,4,2,"Dhaka, Dhaka",1,1,2,3,3,5,5,5,1,2,2,3,1
1,20,5,2,"Hakimpur, Dinajpur",2,4,8,2,5,5,5,5,3,1,1,2,2
1,26,6,2,Madaripur,2,4,8,4,1,5,5,5,3,2,1,2,5
1,20,5,2,,2,4,8,3,3,5,5,5,1,2,3,3,1
2,31,4,4,Dhaka,1,3,6,5,4,4,3,4,2,3,3,3,3
2,20,5,2,"bogura,bogura",2,4,8,5,4,3,3,5,2,3,3,3,2
1,20,5,2,"Lalpur, Natore",2,4,8,4,2,3,5,5,3,2,1,2,5
2,20,1,1,"Uzirpur,barisal",2,4,8,3,3,5,5,5,2,3,1,1,5
2,20,5,2,Mymensingh ,2,4,8,3,5,3,5,5,2,2,1,2,4
2,20,2,2,Dhaka ,2,4,8,4,3,3,3,4,1,3,1,1,4
1,20,5,2,"Sadar, Dinajpur",2,4,8,2,2,2,4,2,2,1,3,3,2
2,20,5,4,Brahmanbaria,2,4,8,1,1,4,4,4,3,3,2,2,5
1,41,3,3,Feni,1,2,4,4,4,2,5,2,3,2,1,3,4
1,20,6,2,"Kaliakair, Gazipur",2,4,8,5,4,4,3,5,1,2,3,3,1
2,20,3,3,Sylhet,2,4,8,4,5,4,5,5,1,1,2,3,1
1,20,5,2,Dhaka,2,4,8,5,3,3,3,5,2,2,1,1,3
1,20,5,2,"Lalpur, Natore",2,4,8,4,2,3,5,5,2,2,3,3,2
2,20,2,2,Dhaka,2,4,8,4,5,3,4,5,1,1,3,3,2
1,20,6,3,"Anwara,Chattagram ",2,4,8,3,2,5,3,5,2,1,3,3,1
2,20,5,1,Narail ,2,4,8,4,2,1,3,5,2,1,3,1,3
1,26,2,2,Noakhali ,2,4,8,3,1,5,5,5,3,1,3,3,3
1,20,5,2,Rajshahi,2,4,8,3,4,4,5,5,2,2,2,2,4
2,20,4,2,Shariatpur,1,1,2,3,1,2,5,5,2,3,2,3,4
1,20,6,2,Barishal,2,4,8,4,3,3,5,5,2,1,2,1,4
1,20,5,2,"Mirzapur, Tangail",2,4,8,3,4,3,1,3,3,2,2,1,4
